,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
395,96,300952,4681839,1,0,0,NA,2014,2614,2615
396,97,325485,4683039,0,0,0,NA,2014,2354,2355
397,98,328478,4682046,0,0,0,NA,2014,12093,12094
398,99,332442,4682592,0,0,1,NA,2014,1848,1849
399,100,335395,4682980,0,1,1,NA,2014,10713,10714
400,101,340581,4683075,0,0,1,NA,2014,4395,4396
401,102,343169,4683209,1,0,1,NA,2014,235,236
402,103,379882,4682649,0,0,0,NA,2014,10106,10107
403,104,381552,4682064,0,0,0,NA,2014,2993,2994
404,105,394475,4682060,0,0,0,NA,2014,12116,12117
405,106,398237,4681642,0,0,1,NA,2014,5037,5038
406,107,410480,4681913,0,0,0,NA,2014,2615,2616
407,108,435724,4683092,0,0,0,NA,2014,461,462
408,109,440414,4682538,0,0,1,NA,2014,6825,6826
409,110,443537,4681786,0,1,0,NA,2014,12780,12781
410,111,448436,4683002,0,0,1,NA,2014,7370,7371
411,112,451237,4682348,0,NA,0,NA,2014,5883,5884
412,113,456230,4681845,0,0,1,NA,2014,1710,1711
413,114,466558,4680907,0,0,0,NA,2014,4694,4695
414,115,471399,4682711,0,0,NA,NA,2014,6520,6521
415,116,484304,4681275,1,0,0,NA,2014,7753,7754
416,117,486394,4682040,0,0,0,NA,2014,6391,6392
417,118,492058,4683265,0,1,0,NA,2014,12280,12281
418,119,495440,4682431,1,0,0,NA,2014,12905,12906
419,120,119465,4686619,0,0,0,NA,2014,741,742
420,121,122477,4686713,0,0,0,NA,2014,8703,8704
421,122,126054,4686417,0,0,0,NA,2014,6801,6802
422,123,129320,4684600,0,0,0,NA,2014,289,290
423,124,135624,4686013,0,0,0,NA,2014,7445,7446
424,125,173595,4686806,0,0,0,NA,2014,4016,4017
425,126,226432,4685319,0,0,0,NA,2014,1323,1324
426,127,232197,4688201,0,0,0,NA,2014,5475,5476
427,128,269517,4687171,0,0,0,NA,2014,3774,3775
428,129,285822,4686012,0,0,0,NA,2014,606,607
429,130,289095,4685927,0,0,0,NA,2014,2469,2470
430,131,296984,4686065,0,0,0,NA,2014,2847,2848
431,132,301690,4686356,0,0,0,NA,2014,11174,11175
432,133,305187,4685786,0,1,1,NA,2014,4710,4711
433,134,320077,4686507,0,0,1,NA,2014,1232,1233
434,135,325578,4685874,0,0,0,NA,2014,6306,6307
435,136,329833,4686969,0,0,0,NA,2014,2879,2880
436,137,332105,4684505,0,0,0,NA,2014,1848,1849
437,138,335538,4686876,0,0,NA,NA,2014,3396,3397
438,139,361836,4684774,0,0,0,NA,2014,6756,6757
439,140,366786,4687171,0,0,0,NA,2014,12862,12863
440,141,371292,4687152,0,0,0,NA,2014,9448,9449
441,142,378550,4686975,0,0,0,NA,2014,5573,5574
442,143,382020,4686010,0,0,0,NA,2014,8944,8945
443,144,386231,4686087,0,0,0,NA,2014,7474,7475
444,145,395659,4688343,0,1,1,NA,2014,11024,11025
445,146,398954,4685866,0,0,0,NA,2014,2124,2125
446,147,406263,4687371,0,0,0,NA,2014,7379,7380
447,148,409535,4687692,1,0,0,NA,2014,11212,11213
448,149,413370,4687689,0,0,0,NA,2014,2286,2287
449,150,445272,4686525,0,0,0,NA,2014,7195,7196
450,151,449715,4687282,0,0,1,NA,2014,8467,8468
451,152,481415,4686857,0,0,0,NA,2014,1339,1340
452,153,485402,4686735,0,0,0,NA,2014,8725,8726
453,154,491344,4686277,0,0,0,NA,2014,9630,9631
454,155,493461,4687540,0,1,1,NA,2014,7484,7485
455,156,499436,4686428,1,1,1,NA,2014,10456,10457
456,157,509862,4685780,0,0,1,NA,2014,9903,9904
457,158,118929,4691076,NA,0,0,NA,2014,8740,8741
458,159,123046,4691043,0,0,NA,NA,2014,11189,11190
459,160,127502,4691441,0,0,0,NA,2014,7209,7210
460,161,130225,4690206,0,0,0,NA,2014,10592,10593
461,162,135465,4691261,0,0,0,NA,2014,4550,4551
462,163,138543,4690089,0,0,0,NA,2014,2955,2956
463,164,154871,4689763,0,0,0,NA,2014,8407,8408
464,165,157840,4689400,0,0,0,NA,2014,2718,2719
465,166,170843,4690380,0,0,0,NA,2014,4178,4179
466,167,171759,4689350,0,0,0,NA,2014,4178,4179
467,168,188255,4690640,0,0,0,NA,2014,9682,9683
468,169,219935,4690638,0,0,0,NA,2014,4012,4013
469,170,224702,4691985,0,0,0,NA,2014,3042,3043
470,171,229311,4691426,0,0,0,NA,2014,3130,3131
471,172,230441,4690391,0,0,0,NA,2014,3130,3131
